conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
bellomolchi-b,toth,Toth,Bellomolchi,,T,#5b4500,
bellomolchi-b,coach,Coach,Bellomolchi,,C,#5b4500,Picchia bene chi picchia ultimo
bellomolchi-b,danny,Danny,Bellomolchi,,D,#5b4500,"Stay 12, stay foolish!"
bellomolchi-b,lo-sciamanosss,Lo Sciamanosss,Bellomolchi,,L,#5b4500,E allora...Daje
bellomolchi-b,first-lady-bellomolchi,1st Lady Bellomolchi,Bellomolchi,,1,#5b4500,Stavolta si!
bellomolchi-b,antonello,Antonello,Bellomolchi,,A,#5b4500,"Mölkky poiché bello sempre ma specialmente la sera, Si!"
bellomolchi-b,lip4z,Lip4Z,Bellomolchi B,,L,#5b4500,
bellomolchi-b,rosbu,Rosbu,Bellomolchi,,R,#5b4500,
bellomolchi-b,pipa,Pipa,Bellomolchi,,P,#5b4500,
