conferenza_id,posizione,giocante_id,sv,punti,partite_giocate,partite_totali
emiliana,2,eros,10,651,7,9
emiliana,4,despota,8,630,7,9
emiliana,5,pier,7,593,7,9
emiliana,7,stuglola,4,547,7,9
emiliana,6,ahi-maria,6,585,7,9
emiliana,9,fioreincoma,0,0,0,9
emiliana,3,codroipo,9,646,7,9
emiliana,10,lucia,0,0,0,9
emiliana,1,edo,11,626,7,9
emiliana,8,kamunia-paranoica,1,462,7,9
