conferenza_id,posizione,giocante_id,sv,punti,partite_giocate,partite_totali
adriatic-a,1,barbara,2,100,1,8
adriatic-a,2,kenzu,1,112,2,8
adriatic-a,3,anubi,1,92,1,8
adriatic-a,4,dilegno,0,0,0,8
adriatic-a,5,armadilly,0,0,0,8
adriatic-a,6,jonnino,0,0,0,8
adriatic-a,7,sanjibbone,0,0,0,8
adriatic-a,8,ka,0,0,0,8
adriatic-a,9,sempre,0,0,0,8
