conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
adriatic-a,barbara,Barbara,Adriatic Mölkky,,B,#5b4500,"Fiera, Forte, Barbara!"
adriatic-a,kenzu,Kenzu,Adriatic Mölkky,,K,#5b4500,Cosa ci la polizia?
adriatic-a,anubi,Anubi,Adriatic Mölkky,,A,#5b4500,non lo so
adriatic-a,dilegno,DileGno,Adriatic Mölkky,,D,#5b4500,Chi la dura la vince
adriatic-a,armadilly,Armadilly,Adriatic Mölkky,,A,#5b4500,"Basta, non gioco più a questo gioco di merda!"
adriatic-a,jonnino,Jonnino,Adriatic Mölkky,,J,#5b4500,La viennetta è un piatto che va gustato freddo
adriatic-a,sanjibbone,Sanjibbone,Adriatic Mölkky,,S,#5b4500,molkkyzza et impara
adriatic-a,ka,Ka,Adriatic Mölkky,,K,#5b4500,ka!
adriatic-a,sempre,Sempre,Adriatic Mölkky,,S,#5b4500,Meglio a te che a me
