conferenza_id,posizione,giocante_id,sv,punti,partite_giocate,partite_totali
flus,1,njko,3,221,3,9
flus,2,malvasia,2,179,2,9
flus,3,chardonnay,2,135,2,9
flus,4,barnag,2,125,2,9
flus,5,utopia,1,96,1,9
flus,6,spagna,0,0,0,9
flus,7,davide,0,0,0,9
flus,8,criu,0,0,0,9
flus,9,marshall,0,0,0,9
flus,10,ciaci,0,0,0,9
