conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
adriatic-b,plastilino,Plastilino,Adriatic Mölkky,,P,#5b4500,tocco tutto
adriatic-b,fileri,Fileri,Adriatic Mölkky,,F,#5b4500,Se ti allunghi lo tocchi!
adriatic-b,el-diton,El diton,Adriatic Mölkky A,,E,#5b4500,El diton del diton del diton
adriatic-b,la-megghy,La Megghy,Adriatic Mölkky,,L,#5b4500,Motto matto faccio il botto
adriatic-b,moz,Moz,Adriatic Mölkky,,M,#5b4500,Se lo tiravo io lo prendevo
adriatic-b,nick-lo-squartatore,"Nick ""Lo squartatore""",Adriatic Mölkky,,N,#5b4500,Ti sbudello come una maiala
adriatic-b,luca,LucⒶ,Adriatic Mölkky,,L,#5b4500,Sentimento Caprese
adriatic-b,lalelale,Lalelale,Adriatic Mölkky,,L,#5b4500,Te salut Minghin
