Giocante,Partite giocate,Partite vinte,Set vinti
Dilegno,4/8,3,6
The Real Lally,3/8,1,4
Sancho,2/8,1,3
Moz,1/8,1,3
mmmmmmm,1/8,1,3
Cioppy,2/8,0,2
Armadilly,1/8,0,0
Gianluchi,0/8,,
Ruddie Louie,0/8,,
