conferenza_id,id,nome,squadra,foto_url,iniziale,colore_avatar,motto
bellomolchi-a,ruco,Ruco,Bellomolchi,,R,#5b4500,La salma è la virtù dei morti
bellomolchi-a,erminio,Erminio,Bellomolchi,,E,#5b4500,Maracaibo
bellomolchi-a,brt,Brt,Bellomolchi,,B,#5b4500,La barca è la virtù dei porti
bellomolchi-a,jakpotpot,Jakpotpot,Bellomolchi,,J,#5b4500,?
bellomolchi-a,gabrisky-point,Gabrisky Point,Bellomolchi,,GP,#5b4500,Brillo birilli
bellomolchi-a,gerri,Gerri,Bellomolchi,,G,#5b4500,"Abbi fede, è regolare"
bellomolchi-a,nicola-crivis,Nicola Crivis,Bellomolchi,,N,#5b4500,Dammi qualunque cosa e io te la faccio leggermente peggio
bellomolchi-a,bender,Bender,Dopolavoro Mölkky,,B,#5b4500,Non è mai abbastanza
bellomolchi-a,solo-franz,Solo Franz,Bellomolchi,,S,#5b4500,Oddio.. adesso il motto...
