conferenza_id,posizione,giocante_id,sv,punti,partite_giocate,partite_totali
bellomolchi-a,1,ruco,7,366,4,8
bellomolchi-a,2,erminio,5,334,4,8
bellomolchi-a,3,brt,1,162,2,8
bellomolchi-a,4,jakpotpot,1,80,2,8
bellomolchi-a,5,gabrisky-point,0,102,2,8
bellomolchi-a,6,gerri,0,0,0,8
bellomolchi-a,7,nicola-crivis,0,0,0,8
bellomolchi-a,8,bender,0,0,0,8
bellomolchi-a,9,solo-franz,0,0,0,8
